cycle number	Q discharge/mA.h	Q charge/mA.h	Ewe/V	(Q-Qo)/mA.h	time/s	<I>/mA	Capacity/mA.h	Efficiency/%	
0,000000000000000E+000	1,755319566703187E+000	0,000000000000000E+000	2,4945562E+000	-1,098234280620734E+000	2,240478543400750E+003	-4,497561824093254E+000	1,755319566703187E+000	0,0000000E+000
0,000000000000000E+000	1,792799420865086E+000	0,000000000000000E+000	2,4917529E+000	-1,135714134782632E+000	2,270478542642886E+003	-4,497582613046289E+000	1,792799420865086E+000	0,0000000E+000
0,000000000000000E+000	1,830279882271131E+000	0,000000000000000E+000	2,4889991E+000	-1,173194596188678E+000	2,300478541885022E+003	-4,497655482345793E+000	1,830279882271131E+000	0,0000000E+000
0,000000000000000E+000	1,867759823279593E+000	0,000000000000000E+000	2,4862685E+000	-1,210674537197139E+000	2,330478541127159E+003	-4,497593034634178E+000	1,867759823279593E+000	0,0000000E+000
0,000000000000000E+000	1,905241379645719E+000	0,000000000000000E+000	2,4835989E+000	-1,248156093563265E+000	2,360478540369295E+003	-4,497786877558743E+000	1,905241379645719E+000	0,0000000E+000
0,000000000000000E+000	1,942722836464379E+000	0,000000000000000E+000	2,4809752E+000	-1,285637550381925E+000	2,390478539611431E+003	-4,497774931862564E+000	1,942722836464379E+000	0,0000000E+000
0,000000000000000E+000	1,980203871079922E+000	0,000000000000000E+000	2,4783170E+000	-1,323118584997468E+000	2,420478538853567E+003	-4,497724267487251E+000	1,980203871079922E+000	0,0000000E+000
0,000000000000000E+000	2,017684369508267E+000	0,000000000000000E+000	2,4758117E+000	-1,360599083425813E+000	2,450478538095704E+003	-4,497659925021814E+000	2,017684369508267E+000	0,0000000E+000
0,000000000000000E+000	2,055164668583420E+000	0,000000000000000E+000	2,4733407E+000	-1,398079382500966E+000	2,480478537337840E+003	-4,497636002638219E+000	2,055164668583420E+000	0,0000000E+000
0,000000000000000E+000	2,092645636081828E+000	0,000000000000000E+000	2,4709842E+000	-1,435560349999375E+000	2,510478536579976E+003	-4,497716213430879E+000	2,092645636081828E+000	0,0000000E+000
0,000000000000000E+000	2,130125714335309E+000	0,000000000000000E+000	2,4684865E+000	-1,473040428252856E+000	2,540478535822112E+003	-4,497609504036908E+000	2,130125714335309E+000	0,0000000E+000
0,000000000000000E+000	2,167606229607688E+000	0,000000000000000E+000	2,4661338E+000	-1,510520943525235E+000	2,570478535064249E+003	-4,497661946305969E+000	2,167606229607688E+000	0,0000000E+000
0,000000000000000E+000	2,205087608840916E+000	0,000000000000000E+000	2,4639494E+000	-1,548002322758463E+000	2,600478534306385E+003	-4,497765621610457E+000	2,205087608840916E+000	0,0000000E+000
0,000000000000000E+000	2,242567967054685E+000	0,000000000000000E+000	2,4616768E+000	-1,585482680972232E+000	2,630478533548521E+003	-4,497643099272309E+000	2,242567967054685E+000	0,0000000E+000
0,000000000000000E+000	2,280049322972192E+000	0,000000000000000E+000	2,4596336E+000	-1,622964036889738E+000	2,660478532790657E+003	-4,497762823723855E+000	2,280049322972192E+000	0,0000000E+000
0,000000000000000E+000	2,317530706538598E+000	0,000000000000000E+000	2,4575293E+000	-1,660445420456145E+000	2,690478532032794E+003	-4,497766141591854E+000	2,317530706538598E+000	0,0000000E+000
0,000000000000000E+000	2,355012271816492E+000	0,000000000000000E+000	2,4555547E+000	-1,697926985734039E+000	2,720478531274930E+003	-4,497787946971002E+000	2,355012271816492E+000	0,0000000E+000
0,000000000000000E+000	2,392494518251525E+000	0,000000000000000E+000	2,4535651E+000	-1,735409232169072E+000	2,750478530517066E+003	-4,497869685829699E+000	2,392494518251525E+000	0,0000000E+000
0,000000000000000E+000	2,429976917811288E+000	0,000000000000000E+000	2,4516630E+000	-1,772891631728835E+000	2,780478529759203E+003	-4,497888060797739E+000	2,429976917811288E+000	0,0000000E+000
0,000000000000000E+000	2,467459417699973E+000	0,000000000000000E+000	2,4498835E+000	-1,810374131617520E+000	2,810478529001339E+003	-4,497900100268716E+000	2,467459417699973E+000	0,0000000E+000
0,000000000000000E+000	2,504941963612981E+000	0,000000000000000E+000	2,4481800E+000	-1,847856677530527E+000	2,840478528243475E+003	-4,497905623187556E+000	2,504941963612981E+000	0,0000000E+000
0,000000000000000E+000	2,542424129998923E+000	0,000000000000000E+000	2,4464958E+000	-1,885338843916469E+000	2,870478527485611E+003	-4,497860079938547E+000	2,542424129998923E+000	0,0000000E+000
0,000000000000000E+000	2,579906458396250E+000	0,000000000000000E+000	2,4448421E+000	-1,922821172313796E+000	2,900478526727748E+003	-4,497879521305234E+000	2,579906458396250E+000	0,0000000E+000
0,000000000000000E+000	2,617388312028143E+000	0,000000000000000E+000	2,4432571E+000	-1,960303025945690E+000	2,930478525969884E+003	-4,497822549451810E+000	2,617388312028143E+000	0,0000000E+000
0,000000000000000E+000	2,654870135508961E+000	0,000000000000000E+000	2,4417524E+000	-1,997784849426508E+000	2,960478525212020E+003	-4,497818931322624E+000	2,654870135508961E+000	0,0000000E+000
0,000000000000000E+000	2,692351793841044E+000	0,000000000000000E+000	2,4403088E+000	-2,035266507758591E+000	2,990478524454156E+003	-4,497799113473918E+000	2,692351793841044E+000	0,0000000E+000
0,000000000000000E+000	2,729834377214008E+000	0,000000000000000E+000	2,4388459E+000	-2,072749091131555E+000	3,020478523696293E+003	-4,497910118382423E+000	2,729834377214008E+000	0,0000000E+000
0,000000000000000E+000	2,767316835245371E+000	0,000000000000000E+000	2,4375017E+000	-2,110231549162918E+000	3,050478522938429E+003	-4,497895077389942E+000	2,767316835245371E+000	0,0000000E+000
0,000000000000000E+000	2,804798647958888E+000	0,000000000000000E+000	2,4362299E+000	-2,147713361876435E+000	3,080478522180565E+003	-4,497817639246480E+000	2,804798647958888E+000	0,0000000E+000
